"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tasor",69.8886629823796,-0.56445610227611,0.226830371308279,-2.48845028564968,0.0128301173588921,0.0663696813924659
"Rbis",81.5891230952449,-0.524810831679646,0.211139970786329,-2.48560625316534,0.0129330972566124,0.0668210024924974
"Eva1b",59.6812705467588,0.600623354330186,0.241821094373394,2.48375087329134,0.0130006724089191,0.0670885245694769
"Fnbp1",155.379936434538,-0.393405807789051,0.15849853824722,-2.48207846040467,0.01306185112379,0.0673224292751653
"BC031181",120.14376640972,-0.448097321860185,0.180804544387734,-2.47835209771743,0.0131990821184814,0.0679472748572006
"Tnfaip2",214.112605654158,-0.75921607681545,0.306682718736095,-2.47557501754367,0.013302181296895,0.0683951137626068
"Dpm1",88.6047890794929,-0.494078410061163,0.199748748216433,-2.47349940599286,0.0133797026539534,0.0687105165312456
"Ccr2",144.474466833824,0.498562401744444,0.201668301879986,2.47219021084008,0.013428804475341,0.0688793872062478
"Emb",59.0382133232528,-0.601216424946182,0.243371114267183,-2.47036887165723,0.013497379293974,0.0691476114131574
"Uqcrfs1",113.035696745333,-0.463195105831298,0.187995098269546,-2.46386799493661,0.0137446721408749,0.0703004327893676
"Epcam",40.7972999123466,-0.714269717111706,0.289930974552705,-2.46358540412474,0.0137555120433163,0.0703004327893676
"Phf5a",67.0552437022944,-0.598315479524471,0.243189523304789,-2.46028476635732,0.0138826814049702,0.0708650816429187
"Eif1a",119.51322151642,-0.439452439346434,0.178686159771524,-2.4593535386755,0.0139187476541366,0.070963891100982
"Lgals1",425.217200323212,-0.311381957108639,0.126774475206041,-2.45618809782145,0.0140419637473823,0.0715062590349314
"Ebp",88.0782514103836,-0.49174887614867,0.200265200409408,-2.45548839810098,0.0140693294163982,0.0715598108160997
"Dstn",210.680600934968,-0.35660427056477,0.145273010255907,-2.4547179819334,0.0140995152817797,0.0716275614853093
"Tmed2",223.996218316054,-0.33768906576356,0.137601351530605,-2.45411154765041,0.0141233163193126,0.0716627531757711
"Lsm6",86.7034517874605,-0.512740778153025,0.209191042732967,-2.45106468926368,0.0142434352870484,0.0721860019857929
"Ubl3",253.136027197367,-0.35278029578021,0.143980262834927,-2.45019899834932,0.0142777281933613,0.0722735537988149
"Metap2",129.751095377649,-0.445478636335083,0.181855625083562,-2.44962802844502,0.0143003860600092,0.0723020709486417
"Sf3b6",148.602400338819,-0.39765173747403,0.162398979468599,-2.44860982978602,0.0143408700838498,0.0724205413152322
"Nfat5",68.7620110199064,-0.578571745265227,0.236904234720553,-2.44221782674209,0.0145973359789768,0.0734671402076444
"Lgals9",160.389838827793,0.416970012055999,0.170680304185982,2.44298845168243,0.0145662033784405,0.0734671402076444
"Ppp1r2",76.7881589604644,-0.530229081898306,0.217141624921714,-2.44185831293042,0.0146118800919102,0.0734671402076444
"Myo1f",87.3299173256565,0.496373418018101,0.203288088285558,2.44172406855855,0.0146173142160253,0.0734671402076444
"Frmd4a",86.9796621176574,0.493917501749822,0.202421974979964,2.44003894240588,0.0146856787157554,0.0737234958697554
"Fam111a",81.5998897429341,0.527996504735112,0.216450182911507,2.43934422984977,0.0147139447081791,0.0737781855674577
"Srp9",215.811384591278,-0.349033221427722,0.143218453239126,-2.43706878222568,0.0148068626075666,0.0741565394980369
"Dusp11",97.8841591625054,-0.479984551649824,0.197595308399884,-2.42912929227274,0.0151351339143997,0.0757113235977097
"Hcfc1r1",106.439180952428,-0.485920833250976,0.200362672504052,-2.42520638788719,0.0152996860567567,0.0764444313918184
"Arpp19",157.159816935669,-0.388554247611019,0.160312225964903,-2.42373434260769,0.0153618384218078,0.0764957441224734
"Bcl2a1b",1000.51615817109,-0.253899689519372,0.104757776466995,-2.42368345417645,0.0153639909904568,0.0764957441224734
"Mbnl2",162.566440231139,-0.392282737477448,0.16183925740857,-2.42390346915096,0.0153546863160824,0.0764957441224734
"AA467197",37.4419810583485,0.870219706471135,0.359274288610654,2.42215970933059,0.0154285681590602,0.0767273172968718
"Zbtb20",109.492492001338,-0.474859161913215,0.196171501546349,-2.420632753331,0.01549352095275,0.076960214603894
"Setx",40.2556233091392,0.766931119843938,0.316965209768215,2.41960661993399,0.015537305118764,0.0770875407002227
"Dck",40.69070492406,0.710308348987143,0.293849389077431,2.41725310784966,0.0156381387818014,0.0774069643430191
"Dnase2a",120.770252438284,0.431296783290206,0.178400439521353,2.41757690982921,0.0156242317699767,0.0774069643430191
"Ik",153.312473670073,-0.383432284377562,0.158830881265075,-2.41409152504573,0.0157744993152768,0.0779910344493369
"Cd163",43.6937247588917,-0.679432927446041,0.281606682255271,-2.41270172285951,0.0158347723071428,0.0781448301158613
"Rtn3",140.520369129315,-0.397595540412878,0.164804663347957,-2.41252603133821,0.0158424061054289,0.0781448301158613
"Hnrnpr",78.7002481655205,-0.510218077366521,0.211566009258706,-2.41162594669269,0.0158815655772982,0.0782471102166887
"Ddx24",156.202452137965,-0.383705938905145,0.159233638316685,-2.40970402335484,0.0159654666379226,0.0785693358183746
"Coa3",103.029037133409,-0.461359135121806,0.191821174356599,-2.40515228138543,0.0161657279195345,0.0794627852711378
"Eef1g",269.058837163275,-0.316146166231924,0.131562929643753,-2.40300339227765,0.0162610365852788,0.0798388698007848
"Stk24",45.1768831404016,0.65463859723767,0.272575383031944,2.4016790876561,0.0163200184527762,0.0800119177878115
"mt-Nd5",792.183344848274,-0.221360446975687,0.0921810281615013,-2.40136665201719,0.0163339610835961,0.0800119177878115
"Nsa2",368.285709765885,-0.301177731976802,0.125467257335701,-2.40044883718921,0.0163749796774841,0.0801204362791184
"Erp29",459.088881624698,-0.27795553177967,0.115846376136651,-2.39934593596435,0.0164243897657584,0.0802697161509506
"Cox16",90.6372937465456,-0.498103616919345,0.207900988096963,-2.39586940629178,0.0165809967874661,0.0809419463866305
"Slc40a1",170.980840378161,-0.397095698171608,0.165922009977588,-2.39326716344171,0.0166990765481836,0.0813313969038254
"1810058I24Rik",113.638986157581,-0.438387573732381,0.183160537066018,-2.39346084453972,0.0166902626835449,0.0813313969038254
"Psmb10",147.242969639922,0.420246207361715,0.175644241618195,2.3925988321053,0.0167295217568997,0.0813863446753182
"Ly6e",1119.79211546098,0.270403251150777,0.113052219468451,2.39184380830522,0.0167639747752544,0.081460641728267
"Slc29a3",183.551074076092,0.375465237489223,0.157027802097045,2.39107490823301,0.0167991249942458,0.0815381529720707
"Gbp3",46.148195887292,0.785965471703414,0.329594410745336,2.38464441774377,0.0170956364810835,0.0828826120264404
"Mrc1",804.38177883342,-0.241805261542739,0.101530037314534,-2.38161304711866,0.017236999234951,0.0830936841666707
"Cd302",147.203492151663,-0.386416081743347,0.16219604913146,-2.38240132119468,0.0172001411315324,0.0830936841666707
"Snx5",490.6055812227,-0.255021333869338,0.107072160696924,-2.3817706881922,0.0172296227197042,0.0830936841666707
"Hbb-bs",55.2479124912856,9.30713119603469,3.90763639074657,2.38178025419006,0.01722917518609,0.0830936841666707
"Trir",159.887251244678,-0.376192126038771,0.157941081715737,-2.38185101654452,0.0172258649717897,0.0830936841666707
"Cadm1",85.0136397945896,-0.502918537777051,0.211259976160386,-2.38056704785028,0.0172860149958942,0.0831412295442388
"Glrx",58.9889406038183,0.612162224119625,0.257120651263664,2.38083647155936,0.0172733780657081,0.0831412295442388
"Mob4",59.3952290613061,-0.573865996943624,0.24121852602743,-2.37902953141487,0.0173582852662607,0.0833363150784659
"Dnajc7",113.894939550996,-0.433640961747276,0.182288668036041,-2.37886955025388,0.0173658203071444,0.0833363150784659
"Macf1",323.303797595889,-0.297314969464809,0.125101721124798,-2.3765857639018,0.0174736987731086,0.0835837400753959
"Hp1bp3",132.430600962414,-0.399182842639204,0.167968900084487,-2.37652828850113,0.017476421282541,0.0835837400753959
"Eif4b",102.208341115111,-0.466605943459905,0.196300286427469,-2.37700082843389,0.0174540489271009,0.0835837400753959
"Pum2",81.8141417750615,-0.507871335616508,0.213890122534953,-2.37444969219424,0.0175751310205212,0.0839612839641773
"Nabp2",40.9866083263874,-0.675154356291393,0.284810965829088,-2.37053497686092,0.0177623632206098,0.084760400671831
"Foxp1",79.6443062489026,-0.503050522632773,0.212421463252892,-2.3681718171477,0.0178762320111173,0.0852080329418803
"Magoh",79.3218323512504,-0.531830613827271,0.224960252794161,-2.36410924695171,0.0180734820992548,0.0860516574837836
